92376182133100544, 36998
436954116628021248, 281
745645222540738721, 2346
226615955504103434, 4991
428779740233465867, 417
486297786086588439, 1523
120649770825023488, 443
432138643122159657, 209
283325793818378253, 590
218764427032264704, 1319
202792467169280000, 11979
125273770213507072, 5039
464199758727348226, 817
429744257570439179, 4092
118057451609260034, 2617
99747059237658624, 2520
277734559590907915, 36947
278258116813127680, 13211
313751385768329226, 329
360600841469689868, 5059
75762903952658432, 2601
184408178224660480, 978
108997733548843008, 3850
272064319661801473, 14266
399120418239414273, 924
269477485605945344, 556
110440779540885504, 1152
415610833976950786, 15059
329044138349821965, 8327
515435657603055677, 1889
562993077669855263, 328
102795037498167296, 6989
389871467384274944, 11449
190227010939912192, 3787
489962645852520448, 252
197173356938788864, 1437
237753974390915072, 2058
457376719838642177, 71
261195509623029760, 4905
413139300809572358, 209
332906365494493185, 43
598260304606003206, 4786
371675451124350987, 1546
123243459774513152, 3426
102508803244699648, 2006
188145229344276490, 2426
108641153397559296, 33766
453658610518589441, 8589
378739967804833795, 1891
174552631811899394, 1737
268260643075915777, 2486
136075382070706176, 3888
386279836357885983, 1989
188712279636705280, 181
377639734786260992, 180
288532448457916417, 454
188034371020652555, 3
81580955956936704, 135
332262346796040196, 2097
625713858069266433, 403
230662897049665536, 692
182271472461414401, 3674
361026817676804106, 1270
372231371785109506, 7680
78524664955011072, 258
348602889549250560, 175
159789981324279809, 25789
305750756785520640, 1285
175695814860079106, 6830
534893442057240596, 8
342246899337658379, 198
174373331145850880, 4360
461492888593760256, 3600
202050015777128449, 189
153302887290634240, 9
261713706205839361, 29
741897721379684473, 79
214966014142709770, 20223
191861233106812928, 8786
308514131768639488, 16281
238714511467610116, 182
85113040436989952, 673
219702616785944577, 237
305544242913345540, 31
142511380845559809, 916
206565348349050881, 1721
276457389925072897, 1755
143013371522842624, 20863
300834892223217666, 11537
380383180101779467, 7
371478282899554311, 14875
155029095900512257, 2810
330494814435016726, 2217
244613368441208832, 1700
345026140114518026, 1340
132972952311431168, 5274
317489529743212544, 2112
324583662450507777, 13286
133954950379208704, 9816
438054590827724810, 496
418349415565099010, 108
188224129122435072, 8932
757410619707228211, 6004
244591529627222017, 16522
215909117590634496, 2358
465948952882053122, 29994
183979511644160010, 6845
101566410727112704, 7901
226465847064002561, 12954
223120222121492480, 6664
532665720211767296, 331
197609913483001857, 1093
183656278915153920, 1574
464824286880989196, 7962
261933590332309514, 1177
126366028497158144, 788
265425026352676864, 2530
131179769575243776, 4249
337311478619176960, 138
128038257886887936, 1579
327593648961355783, 3656
585567907141124096, 1050
694267416976293979, 201
497878081667858432, 3280
183305644403720192, 66
691817182505730098, 93
233969686163881984, 1127
239847862010249218, 748
453390533121802242, 43
282525812966817792, 4172
269954328595267584, 3588
326973413438521344, 351
400045547202805770, 61
241943941803409408, 1353
176652936397586432, 199
202971217987239936, 4011
141659935933988864, 17
386969949891067904, 354
245813002476060672, 11
176021905051090944, 3
85074313559961600, 1010
210273669824512001, 585
